作者,作者链接,_source_url
姜伟生,https://book.douban.com/author/4632748/,https://book.douban.com/subject/36860643/
,,https://book.douban.com/subject/36860643/
Jon Bentley,https://book.douban.com/author/318021/,https://book.douban.com/subject/3227098/
钱丽艳,https://book.douban.com/author/189816/,https://book.douban.com/subject/3227098/
黄倩,https://book.douban.com/author/189812/,https://book.douban.com/subject/3227098/
,,https://book.douban.com/subject/3227098/
Eric S·Raymond,https://book.douban.com/author/802088/,https://book.douban.com/subject/1467587/
,,https://book.douban.com/subject/1467587/
Peter van der Linden,https://book.douban.com/author/1176128/,https://book.douban.com/subject/2377310/
徐波,https://book.douban.com/author/162065/,https://book.douban.com/subject/2377310/
,,https://book.douban.com/subject/2377310/
Bruce Eckel,https://book.douban.com/author/211604/,https://book.douban.com/subject/2130190/
,,https://book.douban.com/subject/2130190/
Toby Segaran,https://book.douban.com/author/268673/,https://book.douban.com/subject/3288908/
,,https://book.douban.com/subject/3288908/
贺新征,https://book.douban.com/author/2672059/,https://book.douban.com/subject/19937608/
,,https://book.douban.com/subject/19937608/
孙剑,https://book.douban.com/author/4614106/,https://book.douban.com/subject/25809330/
,,https://book.douban.com/subject/25809330/
黄健宏,https://book.douban.com/author/4629766/,https://book.douban.com/subject/27204133/
,,https://book.douban.com/subject/27204133/
姜伟生,https://book.douban.com/author/4632748/,https://book.douban.com/subject/36860643/
,,https://book.douban.com/subject/36860643/
Jon Bentley,https://book.douban.com/author/318021/,https://book.douban.com/subject/3227098/
钱丽艳,https://book.douban.com/author/189816/,https://book.douban.com/subject/3227098/
黄倩,https://book.douban.com/author/189812/,https://book.douban.com/subject/3227098/
,,https://book.douban.com/subject/3227098/
Eric S·Raymond,https://book.douban.com/author/802088/,https://book.douban.com/subject/1467587/
,,https://book.douban.com/subject/1467587/
Peter van der Linden,https://book.douban.com/author/1176128/,https://book.douban.com/subject/2377310/
徐波,https://book.douban.com/author/162065/,https://book.douban.com/subject/2377310/
,,https://book.douban.com/subject/2377310/
Bruce Eckel,https://book.douban.com/author/211604/,https://book.douban.com/subject/2130190/
,,https://book.douban.com/subject/2130190/
Toby Segaran,https://book.douban.com/author/268673/,https://book.douban.com/subject/3288908/
,,https://book.douban.com/subject/3288908/
贺新征,https://book.douban.com/author/2672059/,https://book.douban.com/subject/19937608/
,,https://book.douban.com/subject/19937608/
孙剑,https://book.douban.com/author/4614106/,https://book.douban.com/subject/25809330/
,,https://book.douban.com/subject/25809330/
黄健宏,https://book.douban.com/author/4629766/,https://book.douban.com/subject/27204133/
,,https://book.douban.com/subject/27204133/
黄健宏,https://book.douban.com/author/4629766/,https://book.douban.com/subject/27204133/
,,https://book.douban.com/subject/27204133/
