名称,链接,_source_url
编程不难 : 全彩图解 + 微课 + Python 编程,https://book.douban.com/subject/36860643/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
ActionScript 3.0编程精髓 : ActionScript 3.0 编程精髓,https://book.douban.com/subject/3102069/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
编程珠玑,https://book.douban.com/subject/3227098/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
编程导论,https://book.douban.com/subject/26368668/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
精通UNIX Shell脚本编程,https://book.douban.com/subject/1225638/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
UNIX编程艺术,https://book.douban.com/subject/1467587/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
C专家编程,https://book.douban.com/subject/2377310/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Java编程思想 （第4版）,https://book.douban.com/subject/2130190/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Python神经网络编程,https://book.douban.com/subject/30192800/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
TypeScript编程,https://book.douban.com/subject/35134660/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
集体智慧编程,https://book.douban.com/subject/3288908/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Python编程 : 从入门到实践,https://book.douban.com/subject/26829016/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Windows 7高级编程,https://book.douban.com/subject/19937608/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Linux/UNIX系统编程手册,https://book.douban.com/subject/25809330/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Go Web 编程,https://book.douban.com/subject/27204133/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
编程不难 : 全彩图解 + 微课 + Python 编程,https://book.douban.com/subject/36860643/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
ActionScript 3.0编程精髓 : ActionScript 3.0 编程精髓,https://book.douban.com/subject/3102069/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
编程珠玑,https://book.douban.com/subject/3227098/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
编程导论,https://book.douban.com/subject/26368668/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
精通UNIX Shell脚本编程,https://book.douban.com/subject/1225638/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
UNIX编程艺术,https://book.douban.com/subject/1467587/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
C专家编程,https://book.douban.com/subject/2377310/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Java编程思想 （第4版）,https://book.douban.com/subject/2130190/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Python神经网络编程,https://book.douban.com/subject/30192800/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
TypeScript编程,https://book.douban.com/subject/35134660/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
集体智慧编程,https://book.douban.com/subject/3288908/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Python编程 : 从入门到实践,https://book.douban.com/subject/26829016/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Windows 7高级编程,https://book.douban.com/subject/19937608/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Linux/UNIX系统编程手册,https://book.douban.com/subject/25809330/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
Go Web 编程,https://book.douban.com/subject/27204133/,https://search.douban.com/book/subject_search?search_text=%E7%BC%96%E7%A8%8B&cat=1001
